39 2 0
459986	2033325
457468	2034024
454970	2038992
472501	2071959
469011	2074393
470975	2073478
456200	2060160
457700	2063070
459510	2065977
461220	2069217
463450	2072960
465150	2075120
473446	2070828
475025	2067922
475782	2066123
476073	2062276
475102	2060067
473667	2057008
472337	2054937
462519	2071019
467495	2075010
456001	2058193
455557	2052423
455141	2050061
453635	2046795
469630	2052720
470400	2052900
467516	2049885
466570	2047985
467504	2044980
467499	2043520
467350	2043480
466671	2040400
464950	2037006
465088	2036926
462760	2034710
459934	2033130
456664	2035320
453611	2046815
The coordinates are in metres.
Truncation distance = 8000 m
